COM101,Communications Skills,GF,COM,UG Ist Year,275
CSE101,Intro to Programming,Vikram Goyal+Tanusri Bhattacharya(V),IP,UG Ist Year,275
CSE131,Systems Management,Dheeraj Snghi(V) ,SM,UG Ist Year,275
ECE113,Basic Electronics,GS Visweswaran(V) ,BE,UG Ist Year,275
MTH100,Maths I,Samaresh Chaterji(V),M-I,UG Ist Year,275
CSE121,Discrete Mathematics,Donghoon Chang,DM,UG-CSE-2nd Year,128
CSE201,Advanced Programming,Chetan Arora,AP,"UG-CSE-2nd Yr, UG-ECE-2nd Yr Elective",135
CSE112/ECE112,Computer Organization,Puneet Goyal,CO ,UG-CSE-2nd Yr,116
ECE2xx,Circuit Theory and Devices,MS Hashmi,CTD,"UG-ECE-2nd Yr, UG-CSE-2nd Yr Elective",60
ECE250,Signals & Systems,Anubha Gupta,S&S,"UG-ECE-2nd Yr, UG-CSE-2nd Yr Elective",80
ECE270,Embedded Logic Design,Alexander Fell,ELD,"UG-ECE-2nd Yr, UG-CSE-2nd Yr Elective",81
MTH203,Maths III ,Sarthok,M-III,"UG-ECE-2nd Yr, UG-CSE-2nd Yr Elective",136
BIO601,Foundations of Modern Biology,Sriram k,FOMB,"M-CB Ist Year Core, UG/PG Elective",11
BIOxx,Cell Biology and Biochemistry(New 2 Cr),Sriram k,CBB,M-CB Ist Year Core,275
BIO303/BIO503,Introduction to Mathematical Biology,Subhadip Raychaudhuri ,IMB,"M-CB Ist Year Core, UG/PG Elective",275
BIOxx,Practical Bioinformatics(new),Will be announced later,PB,"M-CB Ist Year Core, M-CB 2nd Yr Elective",38
BIO404/BIO604,Molecular Mechanics and Biological Physics  ,Arnab Bhattacherjee(V),MMBP,"M-CB 2nd Year Elective, UG/PG Elective",8
BIO5xx,Digital Health 101( New 2 Cr),Prashant Jha(G),DH101,"M-CB 2nd Year Elective, UG/PG Elective",3
CSE230,System Administration (2 cr),Vinayak Naik,SA,UG-2nd Yr CSE,275
CSE333/CSE533,Computer Graphics,Ojaswa Sharma,CG,UG/PG,29
CSE340/CSE540/ECE350,Image Analysis/Digital Image Processing,AV Subramanyam,IA,UG/PG,72
CSE343/CSE543,Machine Learning,Saket Anand,ML,"UG/PG, M-CB 2nd Yr Elective",160
CSE345/CSE545,Foundations of Computer Security,Ponnurangam Kumaraguru,FCS,UG/PG,88
CSE319/CSE519,Modern Algorithm Design,Rajiv Raman,MAD,UG/PG,32
CSE3xx/ECE3xx,Smart Sensing for Internet of Things ,Vinayak Naik,SSIoT,UG/PG,88
CSE5ISC,Intoruction to Spatial Computing,Vishwanath Gunturi,ISC,UG/PG,44
CSE503,Program Analysis,Rahul Puranadare,PA,UG/PG,50
CSE506,Data Mining,Vikram Goyal,DMG,UG/PG,134
CSE525,Graduate Algorithms,Debajyoti Bera,GA,UG/PG,7
CSE535,Mobile Computing ,Pushpendra Singh,MC,UG/PG,108
CSE546,Applied Cryptography,Somitra Sandhya,AC,UG/PG,43
CSE550,Network Security,Sambuddho Chakravarty,NS,UG/PG,88
CSE640,Collaborative Filtering,Angshul Majumdar,CF,UG/PG,22
CSE5xx/ECE5xx,Robotic Systems (New),P B Sujit,RobS,UG/PG,27
DES303,Non-Linear Editing ,Manohar Khushalani(V),NLE,UG,71
ECE314/ECE514,Digital VLSI Design ,Sujay Deb,DVD,UG/PG,20
ECE315/ECE515,Analog CMOS Circuit Design,MS Hashmi,CMOS,UG/PG,20
ECE340,Digital Communication Systems ,Vivek Bohara,DCS,UG-ECE,8
ECE351,Digital Signal Processing ,AV Subramanyam,DSP,UG-ECE,15
ECE453/ECE553,Advanced Signal Processing ,Anubha Gupta,ASP,UG/PG,1
ECE454/ECE554,Compressive Sensing ,Angshul Majumdar,CS,UG/PG,7
ECE3xx/ECE5xx,Communication Networks,Sanjit Kaul,CN,UG/PG,3
ECE501,Probability and Random Processes,Pravesh Biyani,PRP,UG/PG,8
ECE510,Digital Hardware Design,Sumit Darak,DHD,UG/PG,21
ECE570,Control Theory,P B Sujit,CNT,UG/PG,12
ECE543,Principles of Digital Communication System,Anand Srivastava,PDCS,UG/PG,3
ECE632,Radar Systems ,Shobha Sundaram,RS,UG/PG,3
ECE5xx,Solid State Devices (New),Pydi Ganga Mamba,SSD,UG/PG,42
ENT401,Entrepreneurship-1,Hemant Kumar(V),ENT-I,UG,6
FIN402,Valuation and Portfolio Management,Pankaj Vajpayee(V),VPM,UG,61
HSS101,Technology & Society,Duru Arun Kumar(G),T&S,UG,50
HSS204,Introduction to Psychology,Akshay Kumar(V),Psy,UG,42
HSS211,Theatre Appreciation,Manohar Khushalani(V),TA,UG,59
HSS2xx,Philosophy of Literature,Raj Ayyar(V),PoL,UG,52
HSS2xx,Perspectives of Knowledge,Raj Ayyar(V),PoR,UG,34
HSS2xx,Many Delhis: The politics of Identity and Difference (New),Amrit Srinivasan(G),MD,UG,29
HSS2xx,Introduction to Contemporatry Indian Painting (New-2Cr),Geeti Sen(G),ICIP,UG,9
HSS2xx,Introduction to Indian Mythology (New-2Cr),Saumya Kulshreshtha(G),IIM,UG,40
MGT310,Effective Supply Chain Management for E-commerce,Sanjiva Dubey (G),SCM,UG,27
MTH3XX,Advanced Linear Algebra (New),Anuradha Sharma,ALA,UG,8
PHY301,Physics - I,Subhash Chopra(G),Phy,UG,57
